Investment,Location,CompetitionLevel,TargetCustomers,MonthlyRent,MarketingBudget,BusinessOutcome
142829,Lucknow,6,257,36451,38900,Loss
773097,Chandigarh,4,587,35461,27519,Medium
188764,Lucknow,6,864,47005,47381,Loss
430788,Indore,2,491,12001,38366,Profitable
234411,Bangalore,3,721,18209,44730,Medium
495901,Ahmedabad,10,803,38349,31383,Loss
300186,Bhopal,6,173,11135,49060,Loss
461032,Kolkata,8,171,47191,17627,Loss
542652,Ahmedabad,4,51,25306,14022,Loss
207285,Hyderabad,2,897,40737,16657,Medium
802881,Hyderabad,2,729,26004,42335,Profitable
896953,Visakhapatnam,6,766,18097,43207,Profitable
651323,Lucknow,10,230,35475,33084,Loss
145599,Visakhapatnam,8,744,42358,46751,Loss
737010,Coimbatore,8,94,39505,48082,Loss
539989,Indore,7,909,27258,3763,Loss
795655,Chennai,9,781,11138,45975,Medium
532220,Hyderabad,2,721,9366,36941,Profitable
515036,Pune,1,208,21473,45047,Profitable
494894,Lucknow,5,230,42938,21644,Loss
677386,Lucknow,10,815,39285,6688,Loss
652052,Chennai,1,688,31201,9558,Profitable
641868,Lucknow,5,117,35798,48474,Loss
436913,Bhopal,2,68,11926,38910,Medium
554905,Delhi,10,510,5267,27460,Loss
829845,Chandigarh,10,922,23173,28575,Loss
781599,Delhi,5,233,44733,17329,Loss
652137,Pune,4,946,37290,23721,Profitable
927377,Indore,4,653,12985,48315,Profitable
224547,Visakhapatnam,7,730,33713,6010,Loss
250396,Kolkata,6,326,41385,4944,Loss
725336,Bangalore,10,440,48083,29227,Loss
778346,Ahmedabad,3,881,30288,15094,Profitable
827872,Jaipur,9,287,49062,46288,Loss
892524,Chandigarh,10,548,5109,38104,Loss
537105,Bangalore,5,790,12092,23319,Medium
891119,Chennai,4,716,36054,4689,Medium
697061,Chennai,7,291,42149,15297,Loss
207993,Indore,5,375,17450,12436,Loss
252404,Delhi,2,742,10342,40279,Profitable
859206,Delhi,5,665,29056,5426,Medium
564369,Bangalore,3,363,12276,20434,Medium
378725,Bangalore,3,660,16699,37856,Medium
483191,Lucknow,4,517,7641,38223,Medium
753973,Delhi,1,516,20432,34107,Profitable
696518,Indore,1,250,28991,20901,Medium
845376,Lucknow,3,198,12751,3379,Medium
313204,Bangalore,9,737,42119,25007,Loss
627393,Visakhapatnam,1,637,49834,29368,Profitable
820309,Jaipur,6,151,15814,29972,Loss
819685,Coimbatore,9,609,40575,21281,Loss
635850,Kolkata,8,325,6479,49547,Loss
155044,Indore,6,444,34522,33674,Loss
554763,Visakhapatnam,4,972,8766,31901,Profitable
171194,Hyderabad,10,355,30940,31168,Loss
365355,Chandigarh,6,793,8159,33876,Medium
269179,Ahmedabad,7,621,19852,19537,Loss
537740,Coimbatore,7,437,24214,22514,Loss
150321,Indore,8,258,32579,29635,Loss
166693,Lucknow,5,516,27197,32921,Loss
483101,Visakhapatnam,6,572,8346,17149,Loss
929412,Visakhapatnam,3,904,37738,26721,Profitable
674549,Chennai,1,485,25444,45638,Profitable
951919,Ahmedabad,10,332,32466,27983,Loss
493168,Lucknow,6,785,28355,15886,Loss
843455,Visakhapatnam,7,950,49183,29873,Medium
623197,Ahmedabad,4,486,27436,32889,Medium
409512,Bhopal,2,568,36375,32162,Medium
819274,Jaipur,10,758,17488,33610,Loss
138750,Chandigarh,4,102,25154,10507,Loss
871487,Pune,2,162,41886,30592,Medium
853936,Chandigarh,4,543,15841,6186,Medium
242554,Kolkata,10,928,9990,32801,Loss
737432,Chennai,10,923,26310,45818,Loss
373394,Pune,2,889,27443,38083,Profitable
599230,Pune,8,386,41221,32632,Loss
406219,Chandigarh,4,360,44906,48692,Loss
589084,Ahmedabad,4,840,24591,9688,Medium
587953,Bhopal,4,467,8670,27975,Medium
456365,Bangalore,9,710,18930,29055,Loss
195380,Bangalore,10,332,35119,26698,Loss
977647,Indore,1,266,39145,14953,Profitable
467355,Delhi,5,661,25333,42626,Medium
379149,Hyderabad,6,350,14222,13948,Loss
840787,Chandigarh,9,340,27067,35373,Loss
433409,Jaipur,10,262,34532,24862,Loss
415375,Indore,5,698,26513,38363,Medium
507825,Indore,3,200,13547,37331,Medium
840935,Chennai,3,324,5637,29165,Profitable
883178,Lucknow,1,357,28477,40248,Profitable
136165,Pune,5,334,31715,10737,Loss
631159,Delhi,2,348,9564,14808,Medium
152993,Bangalore,10,377,31717,9730,Loss
600352,Indore,7,695,45806,30514,Loss
743705,Kolkata,5,226,20511,2274,Loss
373225,Lucknow,7,976,38217,14664,Loss
561982,Delhi,7,70,37610,10853,Loss
530772,Hyderabad,5,791,27622,8997,Medium
134403,Visakhapatnam,10,651,42622,15652,Loss
131617,Mumbai,5,557,41258,13450,Loss
110303,Visakhapatnam,9,415,10800,47318,Loss
405066,Coimbatore,6,538,11270,37544,Loss
894383,Lucknow,9,326,37993,3210,Loss
851003,Coimbatore,2,911,12145,34570,Profitable
977160,Lucknow,7,55,5238,30183,Loss
482869,Delhi,7,827,30488,34116,Loss
414681,Chandigarh,8,735,7965,35272,Loss
647047,Delhi,7,361,19746,8143,Loss
637486,Coimbatore,10,290,12669,33240,Loss
842081,Jaipur,8,767,14912,25095,Medium
769990,Bhopal,1,307,37435,20851,Profitable
424661,Mumbai,2,450,40830,7866,Loss
153413,Coimbatore,5,715,45509,21680,Loss
436802,Delhi,3,455,5898,40533,Medium
284909,Coimbatore,8,952,35471,35318,Loss
741391,Bangalore,4,682,48194,36623,Profitable
552225,Indore,9,155,14266,5815,Loss
599660,Delhi,1,934,7726,47173,Profitable
733605,Chennai,9,401,18001,48547,Loss
378421,Bhopal,8,744,11825,6088,Loss
432939,Visakhapatnam,10,394,30652,26634,Loss
501236,Chennai,10,478,29947,4994,Loss
492820,Indore,1,195,10806,33996,Medium
990623,Jaipur,8,823,35722,41003,Medium
174666,Bangalore,7,679,40205,26414,Loss
250335,Delhi,10,970,10191,46989,Loss
626371,Lucknow,5,658,24602,15814,Medium
238394,Chandigarh,7,55,11782,24430,Loss
601665,Kolkata,5,59,10849,16882,Loss
528856,Delhi,8,485,36063,14457,Loss
483502,Chandigarh,8,568,14363,18944,Loss
842272,Chandigarh,3,800,29976,38410,Profitable
253648,Mumbai,1,179,37897,21877,Loss
391804,Ahmedabad,5,875,15129,2883,Loss
186663,Bhopal,5,423,30162,47930,Loss
340739,Kolkata,5,637,38976,5004,Loss
269000,Mumbai,7,292,18717,30582,Loss
968404,Visakhapatnam,8,349,39609,38281,Loss
694439,Ahmedabad,1,151,49568,16186,Medium
731685,Ahmedabad,4,877,32373,23422,Profitable
435128,Bhopal,8,361,39309,25144,Loss
731780,Hyderabad,1,747,34629,25417,Profitable
385255,Bhopal,6,403,45794,39999,Loss
786933,Bhopal,8,890,33672,48258,Medium
850076,Visakhapatnam,7,366,14587,15691,Loss
855750,Delhi,4,450,27917,18663,Medium
100805,Chandigarh,8,515,25948,17262,Loss
252901,Jaipur,9,587,23919,44000,Loss
405203,Ahmedabad,10,687,23144,41843,Loss
165371,Mumbai,6,706,31710,22612,Loss
689146,Mumbai,6,823,5714,33105,Profitable
252727,Chennai,3,91,47777,24229,Loss
469744,Kolkata,1,626,26753,36808,Profitable
133569,Bangalore,4,314,5666,3662,Loss
274233,Chennai,8,216,14060,13432,Loss
999253,Hyderabad,10,608,9294,45083,Medium
796917,Coimbatore,3,621,47968,27982,Profitable
404805,Chennai,9,679,49787,28254,Loss
662791,Pune,10,714,15906,25265,Loss
866393,Coimbatore,8,975,39927,45916,Profitable
406927,Hyderabad,7,572,7528,11763,Loss
132515,Delhi,6,841,6521,42171,Loss
883434,Kolkata,8,788,37787,33071,Medium
987857,Coimbatore,10,92,24583,39818,Loss
305687,Ahmedabad,8,817,42536,8928,Loss
911977,Mumbai,3,784,43154,42720,Profitable
817971,Ahmedabad,5,755,46669,32512,Profitable
249970,Delhi,10,793,16663,30682,Loss
965268,Mumbai,10,274,25091,23138,Loss
504057,Ahmedabad,6,933,47069,8891,Loss
583631,Delhi,6,86,17139,20495,Loss
206286,Jaipur,1,150,42207,14179,Loss
902800,Ahmedabad,3,464,24882,4520,Medium
637643,Coimbatore,6,804,48774,28207,Medium
838988,Chennai,4,809,44478,28891,Profitable
384718,Ahmedabad,5,996,34499,8929,Medium
180520,Kolkata,4,513,44719,20847,Loss
527988,Pune,7,51,33808,7085,Loss
252379,Delhi,1,799,46622,10984,Medium
462964,Coimbatore,4,876,21223,48361,Profitable
611149,Kolkata,3,266,34331,10038,Loss
990655,Lucknow,1,484,15818,14074,Profitable
601441,Mumbai,4,997,47574,6333,Medium
874942,Coimbatore,5,868,16231,47501,Profitable
705297,Ahmedabad,9,126,48417,44703,Loss
269339,Coimbatore,10,876,16480,38579,Loss
673663,Chennai,4,674,38722,29079,Medium
249750,Kolkata,1,454,39721,46455,Medium
991301,Bhopal,1,729,20512,15687,Profitable
570884,Chennai,1,654,27347,46846,Profitable
463870,Kolkata,3,109,40908,20013,Loss
844174,Pune,4,686,22855,30954,Profitable
468299,Chennai,6,957,23101,19399,Medium
562306,Indore,10,698,10299,43483,Loss
972652,Ahmedabad,6,75,22130,14054,Loss
779745,Pune,1,455,19644,35683,Profitable
461302,Mumbai,2,215,9420,14331,Loss
531287,Mumbai,4,290,31856,35522,Loss
728338,Kolkata,7,673,23315,3734,Loss
688922,Kolkata,2,440,41412,49016,Profitable
215649,Mumbai,3,390,26146,37311,Loss
468893,Ahmedabad,4,643,7001,44252,Profitable
783549,Chennai,10,654,31053,25505,Loss
631943,Visakhapatnam,6,59,16546,21276,Loss
268693,Jaipur,9,100,43403,36359,Loss
427583,Ahmedabad,9,579,23694,7482,Loss
650824,Bangalore,7,211,24794,34467,Loss
725356,Chandigarh,4,779,25106,19485,Profitable
557244,Hyderabad,6,276,15356,30896,Loss
610728,Indore,8,418,30283,47960,Loss
875964,Pune,2,167,25688,34765,Profitable
949896,Bhopal,9,301,27125,39877,Loss
484108,Lucknow,2,760,38132,2817,Medium
333995,Chennai,10,96,14986,48856,Loss
991515,Lucknow,10,410,43200,37351,Loss
745572,Ahmedabad,10,533,35345,12920,Loss
368243,Pune,1,435,48753,9288,Medium
618882,Coimbatore,4,875,28559,2963,Medium
667344,Chennai,10,219,10838,47313,Loss
163854,Lucknow,9,191,30245,33316,Loss
141356,Ahmedabad,8,497,24467,33285,Loss
649949,Jaipur,4,80,10116,10585,Loss
614859,Lucknow,5,753,47808,46237,Medium
168740,Hyderabad,4,87,12518,48937,Loss
400244,Delhi,4,495,26596,4379,Loss
251625,Indore,2,898,28045,4328,Medium
629123,Visakhapatnam,2,75,10676,21211,Medium
222454,Visakhapatnam,3,967,42078,18812,Medium
348272,Hyderabad,1,599,23412,5083,Medium
525961,Pune,7,942,33279,46741,Medium
487683,Hyderabad,3,585,28703,40633,Medium
769537,Ahmedabad,2,827,37406,45296,Profitable
228725,Chennai,7,113,21586,32713,Loss
693962,Delhi,9,623,45786,25037,Loss
148679,Visakhapatnam,8,81,27441,31795,Loss
724751,Coimbatore,9,210,33897,36642,Loss
207453,Coimbatore,3,282,11246,32577,Loss
609070,Indore,10,468,12317,8479,Loss
443063,Jaipur,5,411,49316,44859,Loss
113977,Pune,6,519,30303,44756,Loss
180546,Coimbatore,10,136,29937,18961,Loss
650485,Indore,4,974,12979,33929,Profitable
953252,Visakhapatnam,1,702,39080,26772,Profitable
112431,Indore,7,355,30054,34428,Loss
884483,Chandigarh,4,890,11639,43617,Profitable
819953,Chennai,6,719,30214,24368,Medium
756320,Lucknow,8,173,9460,22098,Loss
273304,Indore,10,260,16220,47798,Loss
776429,Chennai,2,342,34968,38477,Profitable
957550,Mumbai,10,210,16533,5045,Loss
805802,Hyderabad,6,466,35421,31106,Medium
292408,Visakhapatnam,9,698,17619,32032,Loss
430633,Bangalore,8,895,34365,13585,Loss
997217,Ahmedabad,7,267,37091,29089,Loss
151598,Mumbai,5,509,21120,28045,Loss
845369,Bhopal,2,691,22004,21346,Profitable
594181,Coimbatore,9,229,44161,40717,Loss
854884,Bhopal,8,491,44755,40944,Loss
415833,Chennai,10,301,19727,34135,Loss
827227,Bangalore,6,751,32114,30341,Medium
438177,Delhi,10,826,27667,23793,Loss
208509,Chennai,1,483,41309,14361,Loss
852935,Delhi,9,567,13106,45456,Loss
386660,Chennai,8,153,42773,5060,Loss
788873,Mumbai,4,248,42341,37584,Medium
757880,Bhopal,7,304,43936,33561,Loss
887442,Hyderabad,4,268,13816,40760,Medium
720222,Pune,6,53,6701,13957,Loss
441250,Kolkata,10,569,42259,33247,Loss
460310,Ahmedabad,9,760,23571,5411,Loss
222742,Ahmedabad,3,403,37167,10802,Loss
747196,Bhopal,3,919,10435,35245,Profitable
171043,Hyderabad,6,153,10243,21551,Loss
942954,Jaipur,2,280,37715,22185,Profitable
660063,Bhopal,4,278,35148,3711,Loss
963132,Chandigarh,4,160,33164,35871,Medium
519271,Delhi,6,343,48358,47884,Loss
805855,Pune,3,780,49668,21520,Profitable
330317,Bangalore,1,127,40053,26709,Loss
887261,Lucknow,6,729,11092,4367,Medium
994923,Chennai,5,219,26754,19209,Medium
681413,Visakhapatnam,7,843,35054,34328,Medium
355320,Bhopal,4,542,23830,2229,Loss
800752,Lucknow,9,181,36673,15957,Loss
832843,Jaipur,1,187,10953,11544,Profitable
512053,Hyderabad,8,498,33435,18333,Loss
763877,Ahmedabad,10,906,21791,19269,Loss
924295,Bangalore,2,380,16360,14134,Profitable
580641,Pune,10,754,44564,21892,Loss
323027,Hyderabad,1,677,13044,26832,Profitable
663599,Jaipur,1,421,34180,44434,Profitable
748944,Coimbatore,4,368,23945,21508,Medium
976725,Chennai,10,557,18348,45629,Loss
531937,Delhi,7,125,14139,8599,Loss
729717,Delhi,7,778,18358,48510,Medium
284259,Pune,10,238,40543,10500,Loss
972474,Visakhapatnam,7,87,36890,2780,Loss
431531,Coimbatore,8,59,40197,37667,Loss
971380,Ahmedabad,2,882,7703,39972,Profitable
696336,Bangalore,10,154,7324,25846,Loss
647122,Bhopal,6,563,29966,3093,Loss
506318,Indore,7,669,48824,15138,Loss
471549,Lucknow,5,713,30194,18720,Loss
571939,Visakhapatnam,2,979,16833,48424,Profitable
655906,Bhopal,8,743,17233,47124,Medium
317798,Bhopal,3,964,23213,47142,Profitable
701824,Indore,10,845,12905,21152,Loss
519535,Ahmedabad,3,477,29040,22683,Medium
835087,Delhi,8,951,6240,10913,Medium
761184,Bangalore,10,473,44286,42335,Loss
154768,Bangalore,8,365,19573,5813,Loss
416413,Lucknow,1,814,38789,8241,Profitable
803070,Pune,6,636,28640,5067,Loss
330105,Chandigarh,3,167,44645,6998,Loss
148762,Hyderabad,5,726,32144,8118,Loss
945377,Pune,2,224,24677,43410,Profitable
711932,Chennai,6,92,37964,34222,Loss
395338,Chandigarh,4,207,27719,49648,Loss
401113,Mumbai,7,672,49210,27979,Loss
262016,Indore,8,599,43770,13292,Loss
629897,Chennai,1,652,42689,40609,Profitable
983518,Visakhapatnam,4,89,43904,23395,Loss
848002,Ahmedabad,4,774,15150,9391,Profitable
742888,Jaipur,7,596,41465,15873,Loss
893035,Visakhapatnam,7,859,15814,37734,Profitable
694039,Bangalore,3,776,14243,40535,Profitable
641568,Jaipur,5,400,47007,5430,Loss
262514,Pune,10,578,16373,20183,Loss
863921,Hyderabad,3,955,14596,7435,Profitable
676935,Chandigarh,3,696,48293,24246,Profitable
711256,Hyderabad,10,769,15098,3939,Loss
815642,Coimbatore,1,767,20038,26759,Profitable
396010,Pune,8,365,34552,20997,Loss
113906,Bhopal,5,496,34891,29549,Loss
669174,Ahmedabad,6,731,33806,30038,Medium
465259,Bhopal,4,947,47242,20846,Medium
326576,Jaipur,8,281,45583,18387,Loss
823987,Ahmedabad,3,873,36807,9620,Profitable
583500,Visakhapatnam,3,812,24440,28579,Profitable
170333,Coimbatore,7,908,38301,3296,Loss
815691,Kolkata,9,506,36233,6421,Loss
942824,Coimbatore,4,438,30897,34496,Profitable
332333,Kolkata,6,967,35558,4540,Loss
729006,Delhi,8,369,12542,13516,Loss
934588,Bangalore,10,829,23241,28000,Loss
698102,Chandigarh,6,682,42960,39478,Medium
507245,Chandigarh,6,668,18589,21350,Loss
422916,Jaipur,3,695,43124,27096,Medium
226381,Kolkata,6,525,44922,2911,Loss
664029,Indore,9,527,30832,25218,Loss
922542,Coimbatore,5,363,27140,9253,Loss
611004,Chandigarh,2,750,48348,27638,Profitable
229788,Lucknow,7,542,48919,24070,Loss
916308,Kolkata,6,715,38273,6253,Medium
836384,Coimbatore,9,582,16553,32367,Loss
515479,Delhi,8,114,49230,41804,Loss
696257,Pune,7,931,46313,12093,Loss
117305,Mumbai,7,685,13405,29557,Loss
954141,Delhi,1,392,35073,24051,Profitable
992763,Visakhapatnam,7,122,15207,12701,Loss
349449,Ahmedabad,4,874,18874,21640,Medium
560480,Mumbai,10,239,47301,17234,Loss
558085,Pune,4,435,26548,42805,Medium
256512,Indore,3,890,45767,32132,Medium
557056,Mumbai,8,299,38349,20735,Loss
933708,Chandigarh,5,217,10099,16510,Medium
816944,Chandigarh,6,386,19636,15226,Loss
191375,Chandigarh,10,296,33339,47325,Loss
172715,Delhi,3,287,28512,48717,Loss
785178,Bhopal,6,371,19896,39152,Medium
869474,Delhi,7,673,9942,21281,Medium
744287,Kolkata,4,941,20629,21199,Profitable
571207,Pune,2,231,8844,5147,Medium
428678,Pune,8,869,7369,9640,Loss
884423,Ahmedabad,7,214,47939,44489,Loss
181366,Visakhapatnam,9,645,14698,16004,Loss
591703,Jaipur,9,506,23669,30889,Loss
920857,Chandigarh,3,879,31848,48926,Profitable
225233,Ahmedabad,7,190,9504,35075,Loss
987510,Pune,6,614,41099,24655,Medium
349561,Mumbai,6,827,15527,21687,Loss
757218,Bhopal,4,398,39683,12478,Loss
959245,Hyderabad,4,965,48575,44214,Profitable
449671,Bhopal,6,117,20340,35503,Loss
820518,Mumbai,8,216,25824,42124,Loss
150096,Chandigarh,5,505,40288,20026,Loss
965755,Bangalore,5,283,37385,37753,Medium
223535,Chandigarh,3,523,10768,10231,Loss
815717,Visakhapatnam,1,697,20348,23418,Profitable
367981,Hyderabad,6,116,6911,4354,Loss
751800,Hyderabad,2,332,28017,27040,Profitable
752765,Jaipur,3,875,44268,32307,Profitable
205189,Visakhapatnam,8,647,15087,15308,Loss
863281,Hyderabad,7,637,12945,42224,Medium
301254,Lucknow,6,733,25600,4724,Loss
921508,Bhopal,7,654,31325,19833,Medium
354577,Coimbatore,7,666,33643,35214,Loss
450114,Delhi,9,345,33593,5763,Loss
878423,Delhi,1,838,10331,9304,Profitable
727205,Kolkata,2,270,13090,24946,Medium
187922,Chandigarh,10,693,28953,18122,Loss
320634,Kolkata,8,159,49305,27994,Loss
196406,Delhi,3,324,15856,11050,Loss
709959,Pune,10,608,16333,23616,Loss
717129,Mumbai,3,338,7533,23665,Medium
297943,Indore,10,105,41171,35293,Loss
163202,Ahmedabad,10,513,41077,22274,Loss
668442,Delhi,5,359,18378,6562,Loss
287132,Jaipur,2,533,25022,5795,Loss
997320,Visakhapatnam,3,916,16241,8822,Profitable
495854,Lucknow,4,840,46173,32162,Medium
162291,Ahmedabad,2,121,27732,8618,Loss
225257,Chandigarh,1,875,28970,29775,Profitable
205306,Visakhapatnam,7,301,27742,3395,Loss
592520,Kolkata,9,939,42211,21276,Loss
795864,Indore,9,264,39135,37531,Loss
197299,Kolkata,4,741,43576,16042,Loss
730231,Bangalore,3,337,19603,33194,Medium
458549,Bangalore,8,707,10769,43163,Loss
866780,Pune,7,839,36947,23928,Medium
810736,Chennai,5,720,7964,22790,Profitable
237894,Indore,6,249,33083,33001,Loss
740600,Lucknow,7,94,41031,43119,Loss
623249,Bangalore,3,303,13466,45043,Medium
367600,Bhopal,2,989,18783,25305,Profitable
955240,Chandigarh,7,202,11660,2262,Loss
752154,Lucknow,4,133,9332,32638,Medium
817709,Pune,6,643,34942,36613,Medium
406705,Visakhapatnam,10,161,34461,14006,Loss
762593,Hyderabad,9,568,45752,6320,Loss
120580,Bhopal,9,922,16855,28048,Loss
405703,Bangalore,5,381,20378,38291,Loss
871199,Coimbatore,8,270,35034,22529,Loss
581856,Chandigarh,1,148,39696,29691,Medium
622578,Coimbatore,5,199,32815,35635,Loss
451733,Chennai,9,821,27182,37756,Loss
192176,Hyderabad,1,380,41105,13609,Loss
342857,Ahmedabad,3,736,24507,38988,Medium
737209,Lucknow,6,262,17947,39916,Loss
831001,Indore,9,166,34316,29512,Loss
452665,Indore,5,341,29670,27531,Loss
909958,Lucknow,8,349,22151,17000,Loss
866848,Bhopal,10,131,42307,37497,Loss
829893,Coimbatore,10,688,42549,33332,Loss
969392,Bangalore,8,634,23801,41770,Medium
515093,Bangalore,7,993,21753,35379,Medium
726718,Coimbatore,8,593,32295,8348,Loss
424249,Bhopal,9,177,45885,31613,Loss
324149,Delhi,1,137,48079,13107,Loss
200076,Delhi,5,843,33522,12920,Loss
774768,Hyderabad,2,888,33987,49875,Profitable
559549,Ahmedabad,10,60,42425,5226,Loss
197189,Hyderabad,7,874,46546,23972,Loss
626049,Mumbai,7,969,8796,21143,Medium
144886,Mumbai,2,605,25155,18145,Medium
502740,Jaipur,10,716,16729,20791,Loss
729438,Delhi,3,53,17739,5126,Loss
529437,Bhopal,6,993,37074,24192,Medium
332160,Jaipur,3,174,42229,30288,Loss
736301,Delhi,3,512,15028,6736,Medium
272035,Mumbai,5,182,20177,16975,Loss
835168,Pune,6,857,8679,35006,Profitable
786552,Bangalore,8,759,27333,33440,Medium
425295,Chennai,1,807,43652,13243,Profitable
821955,Coimbatore,1,440,25613,32034,Profitable
191251,Coimbatore,10,350,32064,11791,Loss
853087,Indore,3,979,43356,48348,Profitable
791220,Chennai,7,555,44189,10865,Loss
420151,Bhopal,10,116,45277,19013,Loss
434856,Chandigarh,4,679,47939,10971,Loss
285482,Hyderabad,6,761,49558,30679,Loss
932953,Chennai,8,281,22413,32796,Loss
594049,Mumbai,4,145,9259,30399,Loss
597644,Mumbai,8,398,28364,10098,Loss
293744,Indore,5,418,7005,27011,Loss
672609,Indore,5,965,37044,19723,Medium
135933,Delhi,3,557,15515,6346,Loss
730410,Mumbai,10,298,13315,40102,Loss
473563,Mumbai,2,63,15154,40678,Medium
554676,Mumbai,8,894,12659,9921,Loss
585115,Chennai,3,165,36419,12229,Loss
933722,Visakhapatnam,5,576,7458,39847,Profitable
759429,Lucknow,3,673,49635,40563,Profitable
928613,Hyderabad,3,964,42206,21806,Profitable
400365,Lucknow,7,710,26747,2628,Loss
944457,Bangalore,4,763,31265,14906,Profitable
882670,Delhi,8,741,31234,46896,Medium
355292,Bangalore,5,438,13567,33143,Loss
622125,Coimbatore,5,408,12896,27509,Loss
336177,Delhi,2,961,9679,40362,Profitable
165968,Chandigarh,10,186,24824,42714,Loss
189606,Chennai,10,804,12633,10234,Loss
464322,Coimbatore,2,83,10179,11318,Loss
953550,Bhopal,6,473,27434,36798,Medium
795997,Mumbai,1,113,20934,13701,Medium
684551,Kolkata,4,866,11581,16007,Profitable
580922,Visakhapatnam,4,700,49250,9566,Medium
355059,Jaipur,10,596,5702,43050,Loss
674229,Bangalore,4,296,5821,33232,Medium
824951,Pune,3,295,45741,4866,Loss
404509,Jaipur,9,324,34736,18908,Loss
216611,Bangalore,5,993,22349,2567,Loss
427313,Visakhapatnam,7,496,28343,26523,Loss
427218,Lucknow,8,263,23001,31017,Loss
265679,Jaipur,4,341,15916,48824,Loss
279491,Indore,1,50,48178,35052,Loss
937921,Hyderabad,9,565,25781,43305,Loss
599065,Kolkata,7,973,34311,6938,Loss
360564,Coimbatore,2,353,44338,11951,Loss
783700,Bangalore,5,310,21990,13110,Loss
751677,Chandigarh,10,346,45395,38437,Loss
435861,Delhi,4,136,48328,20597,Loss
353559,Mumbai,2,634,40311,6752,Medium
950886,Jaipur,5,614,16117,11923,Medium
748483,Lucknow,6,836,7165,36725,Profitable
293255,Hyderabad,5,481,33797,8858,Loss
560232,Hyderabad,5,197,20357,21595,Loss
132447,Bangalore,7,417,9793,2597,Loss
166927,Mumbai,10,712,6603,27678,Loss
691951,Indore,8,85,39428,36917,Loss
996036,Ahmedabad,9,407,29395,2954,Loss
982044,Chennai,9,895,22927,49889,Profitable
204813,Chennai,3,532,20455,5585,Loss
270107,Indore,4,891,12187,42018,Profitable
985423,Bhopal,10,818,49326,34680,Loss
785540,Chandigarh,9,758,5955,48800,Medium
922449,Kolkata,5,709,19131,34671,Profitable
217912,Hyderabad,10,173,20299,5393,Loss
699634,Visakhapatnam,4,671,12216,14292,Medium
208577,Jaipur,7,313,18636,36443,Loss
815058,Chennai,5,177,49949,13887,Loss
501755,Kolkata,9,941,40622,24700,Loss
174841,Visakhapatnam,2,985,13464,32534,Profitable
806975,Chennai,3,491,18113,4095,Medium
374844,Lucknow,3,693,19136,31155,Medium
197671,Pune,6,514,14087,38976,Loss
792496,Hyderabad,2,923,35569,47751,Profitable
218270,Bhopal,3,51,30822,20401,Loss
648038,Ahmedabad,7,829,43694,47265,Medium
725886,Indore,9,315,45495,29707,Loss
317805,Coimbatore,8,59,21897,30443,Loss
620774,Bangalore,1,332,20822,3138,Medium
447874,Kolkata,5,379,9614,40927,Loss
763986,Indore,1,763,48695,7604,Profitable
564863,Bangalore,6,401,18767,17314,Loss
580417,Coimbatore,7,440,47715,5101,Loss
199670,Pune,10,287,5120,36287,Loss
404851,Delhi,1,700,42202,13367,Medium
303962,Bangalore,7,369,33945,4141,Loss
551610,Coimbatore,6,283,32627,39246,Loss
318825,Chandigarh,8,430,45532,26379,Loss
227080,Bangalore,5,304,46410,20418,Loss
165985,Pune,10,218,30686,21589,Loss
714277,Delhi,8,878,20499,36384,Medium
423847,Bhopal,4,137,7541,29225,Loss
202957,Chandigarh,8,797,10645,20133,Loss
456440,Indore,7,875,47649,46031,Medium
673325,Visakhapatnam,4,619,43329,5845,Medium
563816,Bhopal,2,856,35469,21682,Profitable
930872,Kolkata,6,248,23469,24127,Loss
150152,Bhopal,6,363,5251,42757,Loss
769491,Chennai,10,105,20705,8555,Loss
261358,Bhopal,10,735,6752,28985,Loss
162366,Indore,6,763,7944,46241,Loss
791076,Hyderabad,5,935,24224,16520,Profitable
803308,Coimbatore,9,548,49454,12466,Loss
756316,Hyderabad,10,356,44461,48730,Loss
996056,Indore,8,384,42950,7593,Loss
660268,Jaipur,1,416,22377,22343,Profitable
139136,Chennai,4,775,20702,43472,Medium
545145,Bhopal,6,454,37338,47972,Loss
586101,Bangalore,5,765,34286,19986,Medium
672841,Visakhapatnam,9,870,7819,34643,Medium
269040,Delhi,3,776,40395,25438,Medium
259041,Pune,9,221,23660,47986,Loss
388274,Kolkata,1,327,12768,21672,Medium
729826,Jaipur,5,458,28341,45775,Medium
471842,Hyderabad,9,622,35659,10514,Loss
319669,Bhopal,10,493,44957,5250,Loss
411388,Coimbatore,4,960,16728,11887,Medium
455668,Delhi,6,229,32458,17989,Loss
120067,Jaipur,8,70,41522,47326,Loss
527109,Bangalore,3,421,38795,26962,Medium
253863,Visakhapatnam,10,500,42637,5407,Loss
728023,Delhi,6,458,20400,5055,Loss
142119,Chennai,7,533,31077,18440,Loss
500218,Chandigarh,5,512,7296,38094,Medium
410949,Lucknow,3,349,28615,34219,Medium
237890,Indore,8,271,20428,42912,Loss
999986,Ahmedabad,7,53,9038,37716,Loss
556011,Hyderabad,3,722,31616,25370,Profitable
108793,Kolkata,7,196,39366,23001,Loss
713248,Coimbatore,2,450,47667,12420,Medium
377321,Visakhapatnam,7,582,8605,30418,Loss
955918,Indore,9,193,23384,46645,Loss
667773,Chennai,3,611,46406,27176,Medium
670988,Jaipur,4,758,7818,49016,Profitable
941440,Visakhapatnam,6,332,41128,31081,Loss
